"ICD10","ICD10Descr"
"F10288","Alcohol dependence with other alcohol-induced disorder"
"F10159","Alcohol abuse with alcohol-induced psychotic disorder, unsp"
"F10251","Alcohol depend w alcoh-induce psychotic disorder w hallucin"
"F10150","Alcohol abuse w alcoh-induce psychotic disorder w delusions"
"F1029","Alcohol dependence with unspecified alcohol-induced disorder"
"F1024","Alcohol dependence with alcohol-induced mood disorder"
"F10182","Alcohol abuse with alcohol-induced sleep disorder"
"F10230","Alcohol dependence with withdrawal, uncomplicated"
"F10221","Alcohol dependence with intoxication delirium"
"F1027","Alcohol dependence with alcohol-induced persisting dementia"
"F10250","Alcohol depend w alcoh-induce psychotic disorder w delusions"
"F10281","Alcohol dependence with alcohol-induced sexual dysfunction"
"F10151","Alcohol abuse w alcoh-induce psychotic disorder w hallucin"
"F10980","Alcohol use, unsp with alcohol-induced anxiety disorder"
"F1021","Alcohol dependence, in remission"
"F1014","Alcohol abuse with alcohol-induced mood disorder"
"F10951","Alcohol use, unsp w alcoh-induce psych disorder w hallucin"
"Z6834","Body mass index (BMI) 34.0-34.9, adult"
"E668","Other obesity"
"O99213","Obesity complicating pregnancy, third trimester"
"Z6830","Body mass index (BMI) 30.0-30.9, adult"
"Z6845","Body mass index (BMI) 70 or greater, adult"
"Z6843","Body mass index (BMI) 50-59.9 , adult"
"R939","Dx imaging inconclusive due to excess body fat of patient"
"Z6836","Body mass index (BMI) 36.0-36.9, adult"
"O99212","Obesity complicating pregnancy, second trimester"
"Z6841","Body mass index (BMI) 40.0-44.9, adult"
"Z6842","Body mass index (BMI) 45.0-49.9, adult"
"O99215","Obesity complicating the puerperium"
"E661","Drug-induced obesity"
"E662","Morbid (severe) obesity with alveolar hypoventilation"
"Z6839","Body mass index (BMI) 39.0-39.9, adult"
"Z6837","Body mass index (BMI) 37.0-37.9, adult"
"Z6838","Body mass index (BMI) 38.0-38.9, adult"
"Z6832","Body mass index (BMI) 32.0-32.9, adult"
"O99210","Obesity complicating pregnancy, unspecified trimester"
"E6609","Other obesity due to excess calories"
"Z6844","Body mass index (BMI) 60.0-69.9, adult"
"O99211","Obesity complicating pregnancy, first trimester"
"Z6854","BMI pediatric, greater than or equal to 95% for age"
"E6601","Morbid (severe) obesity due to excess calories"
"Z6835","Body mass index (BMI) 35.0-35.9, adult"
"O99214","Obesity complicating childbirth"
"E669","Obesity, unspecified"
"Z6831","Body mass index (BMI) 31.0-31.9, adult"
"Z6833","Body mass index (BMI) 33.0-33.9, adult"
"I504","Combined systolic and diastolic (congestive) hrt fail"
"I5033","Acute on chronic diastolic (congestive) heart failure"
"I427","Cardiomyopathy due to drug and external agent"
"I501","Left ventricular failure"
"I5020","Unspecified systolic (congestive) heart failure"
"I429","Cardiomyopathy, unspecified"
"I425","Other restrictive cardiomyopathy"
"I5032","Chronic diastolic (congestive) heart failure"
"I50","Heart failure"
"I130","Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny"
"I5042","Chronic combined systolic and diastolic hrt fail"
"I132","Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD"
"I5023","Acute on chronic systolic (congestive) heart failure"
"P290","Neonatal cardiac failure"
"I428","Other cardiomyopathies"
"I5040","Unsp combined systolic and diastolic (congestive) hrt fail"
"I43","Cardiomyopathy in diseases classified elsewhere"
"I502","Systolic (congestive) heart failure"
"I099","Rheumatic heart disease, unspecified"
"I5043","Acute on chronic combined systolic and diastolic hrt fail"
"I426","Alcoholic cardiomyopathy"
"I5022","Chronic systolic (congestive) heart failure"
"I110","Hypertensive heart disease with heart failure"
"I420","Dilated cardiomyopathy"
"I503","Diastolic (congestive) heart failure"
"I5021","Acute systolic (congestive) heart failure"
"I5031","Acute diastolic (congestive) heart failure"
"I509","Heart failure, unspecified"
"I255","Ischemic cardiomyopathy"
"I5041","Acute combined systolic and diastolic (congestive) hrt fail"
"I5030","Unspecified diastolic (congestive) heart failure"
"C780","Secondary malignant neoplasm of lung"
"C7801","Secondary malignant neoplasm of right lung"
"C7902","Secondary malignant neoplasm of left kidney and renal pelvis"
"C7972","Secondary malignant neoplasm of left adrenal gland"
"C7910","Secondary malignant neoplasm of unspecified urinary organs"
"C786","Secondary malignant neoplasm of retroperiton and peritoneum"
"C7949","Secondary malignant neoplasm of oth parts of nervous system"
"C7971","Secondary malignant neoplasm of right adrenal gland"
"C7960","Secondary malignant neoplasm of unspecified ovary"
"C7919","Secondary malignant neoplasm of other urinary organs"
"C793","Secondary malignant neoplasm of brain and cerebral meninges"
"C7802","Secondary malignant neoplasm of left lung"
"C772","Secondary and unsp malignant neoplasm of intra-abd nodes"
"C801","Malignant (primary) neoplasm, unspecified"
"C779","Secondary and unsp malignant neoplasm of lymph node, unsp"
"C781","Secondary malignant neoplasm of mediastinum"
"C795","Secondary malignant neoplasm of bone and bone marrow"
"C784","Secondary malignant neoplasm of small intestine"
"C794","Secondary malig neoplasm of and unsp parts of nervous sys"
"C80","Malignant neoplasm without specification of site"
"C791","Sec malig neoplm of bladder and oth and unsp urinary organs"
"C790","Secondary malignant neoplasm of kidney and renal pelvis"
"C774","Sec and unsp malig neoplasm of inguinal and lower limb nodes"
"C785","Secondary malignant neoplasm of large intestine and rectum"
"C7911","Secondary malignant neoplasm of bladder"
"C787","Secondary malig neoplasm of liver and intrahepatic bile duct"
"C770","Sec and unsp malig neoplasm of nodes of head, face and neck"
"C7889","Secondary malignant neoplasm of other digestive organs"
"C7839","Secondary malignant neoplasm of other respiratory organs"
"C7989","Secondary malignant neoplasm of other specified sites"
"C775","Secondary and unsp malignant neoplasm of intrapelv nodes"
"C7970","Secondary malignant neoplasm of unspecified adrenal gland"
"C7982","Secondary malignant neoplasm of genital organs"
"C79","Secondary malignant neoplasm of other and unspecified sites"
"C7932","Secondary malignant neoplasm of cerebral meninges"
"C799","Secondary malignant neoplasm of unspecified site"
"C800","Disseminated malignant neoplasm, unspecified"
"C7931","Secondary malignant neoplasm of brain"
"C7961","Secondary malignant neoplasm of right ovary"
"C788","Secondary malignant neoplasm of and unsp digestive organs"
"C7962","Secondary malignant neoplasm of left ovary"
"C7951","Secondary malignant neoplasm of bone"
"C798","Secondary malignant neoplasm of other specified sites"
"C796","Secondary malignant neoplasm of ovary"
"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"C792","Secondary malignant neoplasm of skin"
"C773","Sec and unsp malig neoplasm of axilla and upper limb nodes"
"C7952","Secondary malignant neoplasm of bone marrow"
"C771","Secondary and unsp malignant neoplasm of intrathorac nodes"
"C7800","Secondary malignant neoplasm of unspecified lung"
"C7900","Secondary malignant neoplasm of unsp kidney and renal pelvis"
"C797","Secondary malignant neoplasm of adrenal gland"
"C778","Sec and unsp malig neoplasm of nodes of multiple regions"
"C7981","Secondary malignant neoplasm of breast"
"C7880","Secondary malignant neoplasm of unspecified digestive organ"
"C7940","Secondary malignant neoplasm of unsp part of nervous system"
"C802","Malignant neoplasm associated with transplanted organ"
"C782","Secondary malignant neoplasm of pleura"
"C7901","Secondary malignant neoplasm of r kidney and renal pelvis"
"C7830","Secondary malignant neoplasm of unsp respiratory organ"
"C78","Secondary malignant neoplasm of resp and digestive organs"
"C783","Secondary malignant neoplasm of and unsp respiratory organs"
"M05261","Rheumatoid vasculitis w rheumatoid arthritis of right knee"
"M0520","Rheumatoid vasculitis with rheumatoid arthritis of unsp site"
"M05412","Rheumatoid myopathy w rheumatoid arthritis of left shoulder"
"M330","Juvenile dermatopolymyositis"
"M0685","Other specified rheumatoid arthritis, hip"
"M06351","Rheumatoid nodule, right hip"
"M05052","Felty's syndrome, left hip"
"M05652","Rheu arthritis of left hip w involv of organs and systems"
"M05111","Rheumatoid lung disease w rheumatoid arthritis of r shoulder"
"M3321","Polymyositis with respiratory involvement"
"M059","Rheumatoid arthritis with rheumatoid factor, unspecified"
"M340","Progressive systemic sclerosis"
"M0534","Rheumatoid heart disease with rheumatoid arthritis of hand"
"M05069","Felty's syndrome, unspecified knee"
"M0602","Rheumatoid arthritis without rheumatoid factor, elbow"
"M055","Rheumatoid polyneuropathy with rheumatoid arthritis"
"M06879","Oth rheumatoid arthritis, unspecified ankle and foot"
"M0574","Rheu arthritis w rheu factor of hand w/o org/sys involv"
"M0514","Rheumatoid lung disease with rheumatoid arthritis of hand"
"M05469","Rheumatoid myopathy with rheumatoid arthritis of unsp knee"
"M05229","Rheumatoid vasculitis w rheumatoid arthritis of unsp elbow"
"M06069","Rheumatoid arthritis without rheumatoid factor, unsp knee"
"M0507","Felty's syndrome, ankle and foot"
"M052","Rheumatoid vasculitis with rheumatoid arthritis"
"M0525","Rheumatoid vasculitis with rheumatoid arthritis of hip"
"M05239","Rheumatoid vasculitis w rheumatoid arthritis of unsp wrist"
"M05731","Rheu arthritis w rheu factor of r wrist w/o org/sys involv"
"M05179","Rheu lung disease w rheumatoid arthritis of unsp ank/ft"
"M06342","Rheumatoid nodule, left hand"
"M060","Rheumatoid arthritis without rheumatoid factor"
"M06331","Rheumatoid nodule, right wrist"
"M050","Felty's syndrome"
"M0601","Rheumatoid arthritis without rheumatoid factor, shoulder"
"M0557","Rheumatoid polyneuropathy w rheumatoid arthritis of ank/ft"
"M0680","Other specified rheumatoid arthritis, unspecified site"
"M05749","Rheu arthritis w rheu factor of unsp hand w/o org/sys involv"
"M0556","Rheumatoid polyneuropathy with rheumatoid arthritis of knee"
"M05869","Oth rheumatoid arthritis with rheumatoid factor of unsp knee"
"M05612","Rheu arthritis of l shoulder w involv of organs and systems"
"M05122","Rheumatoid lung disease w rheumatoid arthritis of left elbow"
"M05672","Rheu arthritis of left ank/ft w involv of organs and systems"
"M0635","Rheumatoid nodule, hip"
"M3329","Polymyositis with other organ involvement"
"M0521","Rheumatoid vasculitis with rheumatoid arthritis of shoulder"
"M360","Dermato(poly)myositis in neoplastic disease"
"M0638","Rheumatoid nodule, vertebrae"
"M06062","Rheumatoid arthritis without rheumatoid factor, left knee"
"M05021","Felty's syndrome, right elbow"
"M0600","Rheumatoid arthritis without rheumatoid factor, unsp site"
"M342","Systemic sclerosis induced by drug and chemical"
"M068","Other specified rheumatoid arthritis"
"M0569","Rheu arthritis mult site w involv of organs and systems"
"M0637","Rheumatoid nodule, ankle and foot"
"M0639","Rheumatoid nodule, multiple sites"
"M05241","Rheumatoid vasculitis w rheumatoid arthritis of right hand"
"M0571","Rheu arthritis w rheu factor of shoulder w/o org/sys involv"
"M0526","Rheumatoid vasculitis with rheumatoid arthritis of knee"
"M05079","Felty's syndrome, unspecified ankle and foot"
"M05119","Rheu lung disease w rheumatoid arthritis of unsp shoulder"
"M06031","Rheumatoid arthritis without rheumatoid factor, right wrist"
"M0505","Felty's syndrome, hip"
"M05462","Rheumatoid myopathy with rheumatoid arthritis of left knee"
"M06249","Rheumatoid bursitis, unspecified hand"
"M0688","Other specified rheumatoid arthritis, vertebrae"
"M06862","Other specified rheumatoid arthritis, left knee"
"M05772","Rheu arthrit w rheu factor of left ank/ft w/o org/sys involv"
"M06259","Rheumatoid bursitis, unspecified hip"
"M0513","Rheumatoid lung disease with rheumatoid arthritis of wrist"
"M05171","Rheu lung disease w rheumatoid arthritis of right ank/ft"
"M05212","Rheumatoid vasculitis w rheumatoid arthritis of l shoulder"
"M056","Rheumatoid arthritis w involvement of oth organs and systems"
"M05471","Rheumatoid myopathy w rheumatoid arthritis of right ank/ft"
"M0532","Rheumatoid heart disease with rheumatoid arthritis of elbow"
"M3391","Dermatopolymyositis, unsp with respiratory involvement"
"M0539","Rheumatoid heart disease w rheumatoid arthritis mult site"
"M05312","Rheu heart disease w rheumatoid arthritis of l shoulder"
"M05031","Felty's syndrome, right wrist"
"M0633","Rheumatoid nodule, wrist"
"M06312","Rheumatoid nodule, left shoulder"
"M05251","Rheumatoid vasculitis with rheumatoid arthritis of right hip"
"M3302","Juvenile dermatopolymyositis with myopathy"
"M05121","Rheumatoid lung disease w rheumatoid arthritis of r elbow"
"M331","Other dermatopolymyositis"
"M33","Dermatopolymyositis"
"M05879","Oth rheumatoid arthritis w rheumatoid factor of unsp ank/ft"
"M05332","Rheumatoid heart disease w rheumatoid arthritis of l wrist"
"M05529","Rheumatoid polyneurop w rheumatoid arthritis of unsp elbow"
"M05331","Rheumatoid heart disease w rheumatoid arthritis of r wrist"
"M06061","Rheumatoid arthritis without rheumatoid factor, right knee"
"M06049","Rheumatoid arthritis without rheumatoid factor, unsp hand"
"M0560","Rheu arthritis of unsp site w involv of organs and systems"
"M0515","Rheumatoid lung disease with rheumatoid arthritis of hip"
"M06359","Rheumatoid nodule, unspecified hip"
"M06869","Other specified rheumatoid arthritis, unspecified knee"
"M05742","Rheu arthritis w rheu factor of left hand w/o org/sys involv"
"M05512","Rheumatoid polyneurop w rheumatoid arthritis of l shoulder"
"M3392","Dermatopolymyositis, unspecified with myopathy"
"M05372","Rheu heart disease w rheumatoid arthritis of left ank/ft"
"M0625","Rheumatoid bursitis, hip"
"M0535","Rheumatoid heart disease with rheumatoid arthritis of hip"
"M05549","Rheumatoid polyneurop w rheumatoid arthritis of unsp hand"
"M05562","Rheumatoid polyneurop w rheumatoid arthritis of left knee"
"M3489","Other systemic sclerosis"
"M0629","Rheumatoid bursitis, multiple sites"
"M0512","Rheumatoid lung disease with rheumatoid arthritis of elbow"
"M05712","Rheu arthrit w rheu factor of l shoulder w/o org/sys involv"
"M05539","Rheumatoid polyneurop w rheumatoid arthritis of unsp wrist"
"M06021","Rheumatoid arthritis without rheumatoid factor, right elbow"
"M05619","Rheu arthrit of unsp shoulder w involv of organs and systems"
